epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,9480.58,0.91452,0.67438,0.00974,0.88686,0.88821,0.90673,0.67736,0.96293,0.60288,0.01213,0.000834736,0.000834736,0.000834736
61,9636.54,0.92561,0.66586,0.00978,0.90259,0.88037,0.90448,0.66718,0.98189,0.62844,0.01274,0.000822454,0.000822454,0.000822454
62,9791.33,0.92008,0.66345,0.00983,0.89603,0.86689,0.9028,0.68442,0.93834,0.61297,0.01162,0.000810088,0.000810088,0.000810088
63,9944.8,0.92155,0.67972,0.00969,0.91212,0.85771,0.90597,0.67847,0.97628,0.61654,0.01227,0.000797644,0.000797644,0.000797644
64,10101,0.91337,0.66107,0.00945,0.91395,0.8596,0.90243,0.68048,0.94903,0.64756,0.01169,0.000785127,0.000785127,0.000785127
65,10254.7,0.90756,0.63087,0.0096,0.90821,0.85651,0.90017,0.67865,0.96136,0.62861,0.01199,0.000772542,0.000772542,0.000772542
66,10408.7,0.90275,0.66263,0.00927,0.9076,0.85708,0.89599,0.67265,0.95459,0.63628,0.012,0.000759895,0.000759895,0.000759895
67,10563,0.9216,0.66499,0.00966,0.88131,0.87934,0.90158,0.67036,0.96522,0.62144,0.01222,0.000747192,0.000747192,0.000747192
68,10717.8,0.90178,0.61612,0.00952,0.90309,0.87599,0.90191,0.68132,0.94906,0.61003,0.01164,0.000734438,0.000734438,0.000734438
69,10873.1,0.87849,0.62164,0.00911,0.88167,0.88036,0.8979,0.67965,0.95144,0.60208,0.0118,0.000721639,0.000721639,0.000721639
70,11028.6,0.88229,0.61002,0.00936,0.90798,0.87089,0.90018,0.67761,0.94836,0.61334,0.01182,0.0007088,0.0007088,0.0007088
71,11182.9,0.88796,0.60915,0.00927,0.88474,0.87466,0.90756,0.68453,0.94834,0.61908,0.01192,0.000695927,0.000695927,0.000695927
72,11338,0.88129,0.60438,0.00902,0.88956,0.87513,0.90854,0.69244,0.93901,0.59866,0.01144,0.000683026,0.000683026,0.000683026
73,11493.1,0.87871,0.60831,0.00924,0.92297,0.86245,0.9083,0.68647,0.94127,0.59645,0.01142,0.000670102,0.000670102,0.000670102
74,11648.1,0.86199,0.58934,0.00901,0.89496,0.87426,0.90654,0.68903,0.94869,0.59589,0.01147,0.000657161,0.000657161,0.000657161
75,11802.5,0.84496,0.58162,0.00891,0.90728,0.86956,0.90637,0.69198,0.93647,0.58905,0.01162,0.000644208,0.000644208,0.000644208
76,11957.9,0.86347,0.59554,0.00925,0.89869,0.87152,0.89937,0.68158,0.93913,0.61578,0.01164,0.00063125,0.00063125,0.00063125
77,12113.4,0.84934,0.59454,0.00895,0.91797,0.86244,0.90454,0.68339,0.93488,0.61388,0.01186,0.000618292,0.000618292,0.000618292
78,12269.1,0.88034,0.61616,0.00924,0.91715,0.86102,0.9039,0.6824,0.94758,0.62983,0.01184,0.000605339,0.000605339,0.000605339
79,12423.5,0.85165,0.57499,0.00903,0.89484,0.87855,0.90613,0.68467,0.93101,0.60679,0.0116,0.000592398,0.000592398,0.000592398
80,12579,0.8501,0.56451,0.00882,0.90302,0.88148,0.90221,0.68329,0.93853,0.59528,0.01166,0.000579474,0.000579474,0.000579474
81,12735.3,0.84856,0.56648,0.00884,0.90149,0.87118,0.89963,0.68303,0.92783,0.66483,0.01141,0.000566573,0.000566573,0.000566573
82,12891.8,0.85422,0.57541,0.00895,0.91114,0.88107,0.90492,0.68703,0.93236,0.61614,0.01127,0.0005537,0.0005537,0.0005537
83,13046.7,0.83645,0.56768,0.00893,0.90212,0.87394,0.90297,0.69304,0.93648,0.60213,0.01132,0.000540861,0.000540861,0.000540861
84,13203.1,0.84174,0.56706,0.00851,0.92009,0.87483,0.90548,0.68992,0.93831,0.5905,0.01133,0.000528062,0.000528062,0.000528062
85,13339.5,0.8497,0.55748,0.00896,0.92787,0.86468,0.90398,0.68369,0.94066,0.59009,0.01178,0.000515308,0.000515308,0.000515308
86,13473.7,0.82956,0.54109,0.00859,0.90764,0.8737,0.90133,0.68805,0.9305,0.61386,0.0115,0.000502605,0.000502605,0.000502605
87,13606.7,0.84907,0.571,0.00889,0.90038,0.87827,0.89823,0.68596,0.94577,0.61131,0.01183,0.000489958,0.000489958,0.000489958
88,13740.3,0.81803,0.52906,0.00862,0.90115,0.87033,0.90018,0.67968,0.93654,0.63313,0.01191,0.000477373,0.000477373,0.000477373
89,13873.6,0.82673,0.54323,0.00851,0.91147,0.8819,0.90311,0.6837,0.93425,0.62734,0.01156,0.000464856,0.000464856,0.000464856
90,14006.6,0.81356,0.545,0.00863,0.91827,0.87185,0.90163,0.68245,0.93695,0.61412,0.01142,0.000452412,0.000452412,0.000452412
91,14139.6,0.84184,0.56105,0.00854,0.90224,0.87368,0.90089,0.68391,0.94243,0.63421,0.01177,0.000440046,0.000440046,0.000440046
92,14272.6,0.82211,0.53597,0.0084,0.91372,0.88456,0.90771,0.68838,0.93476,0.61273,0.0116,0.000427764,0.000427764,0.000427764
93,14405.9,0.80594,0.52136,0.00867,0.90755,0.87464,0.90471,0.68008,0.93478,0.63731,0.0116,0.000415571,0.000415571,0.000415571
94,14540.1,0.79956,0.5313,0.00827,0.91538,0.88642,0.90348,0.68046,0.9403,0.64643,0.01172,0.000403473,0.000403473,0.000403473
95,14677.6,0.81342,0.53787,0.00841,0.89671,0.87456,0.89908,0.67981,0.94044,0.64547,0.0118,0.000391475,0.000391475,0.000391475
96,14852.1,0.81654,0.54211,0.00843,0.91791,0.87203,0.902,0.69162,0.92733,0.61765,0.01149,0.000379582,0.000379582,0.000379582
97,15019.2,0.79363,0.50847,0.00835,0.90796,0.88782,0.90459,0.69045,0.9169,0.62115,0.0112,0.000367799,0.000367799,0.000367799
98,15166.7,0.80162,0.53308,0.00814,0.91755,0.88106,0.90497,0.68371,0.92843,0.60395,0.01161,0.000356132,0.000356132,0.000356132
99,15327.6,0.7904,0.52657,0.00822,0.91549,0.88781,0.90926,0.68612,0.92524,0.63312,0.01151,0.000344586,0.000344586,0.000344586
100,15484.7,0.79213,0.5179,0.00826,0.92566,0.87492,0.90862,0.68971,0.9246,0.60965,0.01142,0.000333165,0.000333165,0.000333165
